record_id,data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""98XXXXX4321"", ""order_value"": 1299}",True
2,"{""name"": ""NAME_REDACTED"", ""email"": ""xxx@email.com"", ""city"": ""Mumbai""}",True
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",False
4,"{""aadhar"": ""XXXXXXXXXXXX"", ""transaction_type"": ""purchase""}",True
5,"{""email"": ""xxx@email.com"", ""product_id"": ""PROD123""}",True
6,"{""name"": ""NAME_REDACTED"", ""address"": ""123 MG Road, Bangalore, 560001"", ""ip_address"": ""192.168.1.100""}",True
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",False
8,"{""upi_id"": ""user123@paytm"", ""amount"": 500}",False
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",False
10,"{""passport"": ""P1234567"", ""booking_reference"": ""BK123""}",False
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",False
12,"{""name"": ""NAME_REDACTED"", ""email"": ""xxx@email.com"", ""device_id"": ""MOB123456""}",True
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",False
14,"{""phone"": ""98XXXXX4321"", ""order_date"": ""2024-01-15""}",True
15,"{""state"": ""Maharashtra"", ""product_name"": ""NAME_REDACTED""}",True
16,"{""name"": ""NAME_REDACTED"", ""address"": ""456 NAME_REDACTED, Bengaluru, 560025"", ""email"": ""xxx@email.com""}",True
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",False
18,"{""aadhar"": ""XXXXXXXXXXXX"", ""verification_status"": ""verified""}",True
19,"{""email"": ""xxx@email.com"", ""query_type"": ""refund""}",True
20,"{""upi_id"": ""98XXXXX4321@ybl"", ""merchant"": ""Flipkart""}",True
21,"{""product_description"": ""NAME_REDACTED S23"", ""price"": 65000}",True
22,"{""name"": ""NAME_REDACTED"", ""phone"": ""98XXXXX4321"", ""email"": ""xxx@email.com""}",True
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",False
24,"{""passport"": ""M9876543"", ""travel_date"": ""2024-03-15""}",False
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",False
26,"{""name"": ""NAME_REDACTED"", ""address"": ""789 NAME_REDACTED, Kolkata, 700016"", ""ip_address"": ""10.0.0.50""}",True
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}",False
28,"{""phone"": ""98XXXXX4321"", ""sms_consent"": true}",True
29,"{""username"": ""techguru"", ""last_login"": ""2024-01-20""}",False
30,"{""aadhar"": ""XXXXXXXXXXXX"", ""kyc_status"": ""pending""}",True
31,"{""category"": ""Books"", ""author"": ""NAME_REDACTED""}",True
32,"{""name"": ""NAME_REDACTED"", ""email"": ""xxx@email.com"", ""device_type"": ""Android""}",True
33,"{""session_id"": ""SESS789123"", ""duration"": ""45 minutes""}",False
34,"{""upi_id"": ""merchant@okaxis"", ""payment_method"": ""UPI""}",False
35,"{""region"": ""NAME_REDACTED"", ""warehouse_code"": ""WH001""}",True
36,"{""name"": ""NAME_REDACTED"", ""address"": ""321 NAME_REDACTED, NAME_REDACTED, 110001"", ""phone"": ""98XXXXX4321""}",True
37,"{""subscription_type"": ""Premium"", ""renewal_date"": ""2024-06-15""}",False
38,"{""passport"": ""L5678901"", ""country"": ""India""}",False
39,"{""first_name"": ""Kavya"", ""gender"": ""Female"", ""age_group"": ""25-35""}",False
40,"{""aadhar"": ""XXXXXXXXXXXX"", ""bank_verification"": ""success""}",True
41,"{""brand"": ""Nike"", ""model"": ""NAME_REDACTED"", ""size"": ""9""}",True
42,"{""name"": ""NAME_REDACTED"", ""email"": ""xxx@email.com"", ""ip_address"": ""203.192.1.45""}",True
43,"{""currency"": ""INR"", ""exchange_rate"": 83.25}",False
44,"{""phone"": ""98XXXXX4321"", ""notification_preference"": ""SMS""}",True
45,"{""product_rating"": 4.5, ""review_count"": 150}",False
46,"{""upi_id"": ""familyaccount@ibl"", ""family_size"": 4}",False
47,"{""zip_code"": ""560001"", ""delivery_zone"": ""Zone_A""}",False
48,"{""name"": ""NAME_REDACTED"", ""address"": ""567 FC Road, Pune, 411016"", ""email"": ""xxx@email.com""}",True
49,"{""app_name"": ""Flipkart"", ""version"": ""8.21.0""}",False
50,"{""passport"": ""K1357902"", ""issue_date"": ""2020-05-10""}",False
51,"{""last_name"": ""Iyer"", ""profession"": ""NAME_REDACTED""}",True
52,"{""aadhar"": ""XXXXXXXXXXXX"", ""address_proof"": ""verified""}",True
53,"{""email"": ""xxx@email.com"", ""ticket_id"": ""TICK456""}",True
54,"{""name"": ""NAME_REDACTED"", ""phone"": ""98XXXXX4321"", ""device_id"": ""ANDROID789""}",True
55,"{""search_query"": ""bluetooth headphones"", ""filters"": ""price,brand""}",False
56,"{""upi_id"": ""98XXXXX4321@paytm"", ""auto_debit"": true}",True
57,"{""state_code"": ""MH"", ""gst_number"": ""27ABCDE1234F1Z5""}",False
58,"{""name"": ""NAME_REDACTED"", ""email"": ""xxx@email.com"", ""address"": ""890 NAME_REDACTED, Chennai, 600002""}",True
59,"{""feature_flag"": ""new_checkout"", ""enabled"": true}",False
60,"{""phone"": ""98XXXXX4321"", ""otp_verification"": ""pending""}",True
61,"{""discount_code"": ""SAVE20"", ""validity"": ""2024-03-31""}",False
62,"{""passport"": ""A9876543"", ""nationality"": ""Indian""}",False
63,"{""first_name"": ""Rohan"", ""wishlist_count"": 15}",False
64,"{""aadhar"": ""XXXXXXXXXXXX"", ""biometric_status"": ""matched""}",True
65,"{""payment_gateway"": ""Razorpay"", ""transaction_fee"": 25}",False
66,"{""name"": ""NAME_REDACTED"", ""address"": ""123 NAME_REDACTED, Jaipur, 302006"", ""ip_address"": ""122.161.49.178""}",True
67,"{""inventory_id"": ""INV789"", ""stock_level"": 50}",False
68,"{""upi_id"": ""business@axisbank"", ""merchant_category"": ""retail""}",False
69,"{""city"": ""Hyderabad"", ""weather"": ""partly_cloudy""}",False
70,"{""phone"": ""98XXXXX4321"", ""call_preference"": ""evening""}",True
71,"{""coupon_code"": ""FIRST10"", ""usage_count"": 1}",False
72,"{""name"": ""NAME_REDACTED"", ""email"": ""xxx@email.com"", ""device_type"": ""iOS""}",True
73,"{""logistics_partner"": ""BlueDart"", ""tracking_id"": ""BD123456789""}",False
74,"{""passport"": ""H2468013"", ""expiry_date"": ""2030-12-15""}",False
75,"{""age"": 32, ""income_bracket"": ""middle_class""}",False
76,"{""aadhar"": ""XXXXXXXXXXXX"", ""mobile_linked"": true}",True
77,"{""return_reason"": ""size_issue"", ""refund_amount"": 899}",False
78,"{""name"": ""NAME_REDACTED"", ""phone"": ""98XXXXX4321"", ""email"": ""xxx@email.com""}",True
79,"{""seller_id"": ""SELLER001"", ""rating"": 4.2}",False
80,"{""upi_id"": ""shop@hdfcbank"", ""settlement_cycle"": ""T+2""}",False
81,"{""recommendation_type"": ""collaborative"", ""confidence"": 0.85}",False
82,"{""name"": ""NAME_REDACTED"", ""address"": ""456 NAME_REDACTED, Shimla, 171001"", ""email"": ""xxx@email.com""}",True
83,"{""api_version"": ""v2.1"", ""response_time"": ""120ms""}",False
84,"{""phone"": ""98XXXXX4321"", ""language_preference"": ""Hindi""}",True
85,"{""last_name"": ""Reddy"", ""occupation"": ""Doctor""}",False
86,"{""passport"": ""T3691470"", ""visa_required"": false}",False
87,"{""affiliate_id"": ""AFF789"", ""commission_rate"": 5}",False
88,"{""aadhar"": ""XXXXXXXXXXXX"", ""ekyc_timestamp"": ""2024-01-15T10:30:00Z""}",True
89,"{""utm_source"": ""google"", ""campaign"": ""winter_sale""}",False
90,"{""name"": ""NAME_REDACTED"", ""email"": ""xxx@email.com"", ""ip_address"": ""157.49.183.29""}",True
91,"{""fraud_score"": 0.15, ""risk_level"": ""low""}",False
92,"{""upi_id"": ""98XXXXX4321@ybl"", ""bank_name"": ""NAME_REDACTED""}",True
93,"{""search_filter"": ""electronics"", ""sort_by"": ""price_low_to_high""}",False
94,"{""phone"": ""98XXXXX4321"", ""two_factor_auth"": true}",True
95,"{""first_name"": ""Arun"", ""cart_value"": 2500}",False
96,"{""name"": ""NAME_REDACTED"", ""address"": ""789 NAME_REDACTED, Ahmedabad, 380006"", ""phone"": ""98XXXXX4321""}",True
97,"{""machine_learning_model"": ""recommendation_v3"", ""accuracy"": 0.92}",False
98,"{""passport"": ""R7410852"", ""place_of_issue"": ""Mumbai""}",False
99,"{""city"": ""Bangalore"", ""traffic_condition"": ""moderate""}",False
100,"{""aadhar"": ""XXXXXXXXXXXX"", ""consent_given"": true}",True
101,"{""email"": ""xxx@email.com"", ""unsubscribe_rate"": 0.02}",True
102,"{""name"": ""NAME_REDACTED"", ""email"": ""xxx@email.com"", ""device_id"": ""TAB456789""}",True
103,"{""performance_metric"": ""page_load_time"", ""value"": ""2.1s""}",False
104,"{""upi_id"": ""quickpay@kotak"", ""limit_daily"": 50000}",False
105,"{""last_name"": ""Gupta"", ""education"": ""MBA""}",False
106,"{""phone"": ""98XXXXX4321"", ""marketing_consent"": false}",True
107,"{""analytics_event"": ""product_view"", ""timestamp"": ""2024-01-20T14:22:33Z""}",False
108,"{""name"": ""NAME_REDACTED"", ""address"": ""321 NAME_REDACTED, Mysore, 570001"", ""email"": ""xxx@email.com""}",True
109,"{""cache_hit_ratio"": 0.78, ""response_cached"": true}",False
110,"{""passport"": ""S9630741"", ""passport_type"": ""ordinary""}",False
111,"{""first_name"": ""Vivek"", ""subscription_status"": ""active""}",False
112,"{""aadhar"": ""XXXXXXXXXXXX"", ""demographic_verified"": true}",True
113,"{""a_b_test"": ""checkout_flow_v2"", ""variant"": ""B""}",False
114,"{""name"": ""NAME_REDACTED"", ""phone"": ""98XXXXX4321"", ""email"": ""xxx@email.com""}",True
